,uri,name,description,query,author,n_tracks,playlist_followers
0,spotify:playlist:37i9dQZF1DWSfMe9z89s9B,Alternative R&B,R&B without boundaries. Cover: 6LACK,Alternative,spotify,100,1352377
1,spotify:playlist:37i9dQZF1DXaLI8a395lse,Alternative 90s,"Britpop, trip-hop, grunge and more from the other side of the 90s. Cover: The Cure",Alternative,spotify,80,1160891
2,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,Early Alternative,These early pioneers brought the underground to the foreground. Cover: Lou Reed. ,Alternative,spotify,75,1089246
3,spotify:playlist:37i9dQZF1DWTggY0yqBxES,Alternative Hip-Hop,"New, leftfield, and for the real hip-hop stans! Cover: Doechii",Alternative,spotify,100,924501
4,spotify:playlist:37i9dQZF1DX873GaRGUmPl,Alternative 10s,The best alternative songs of the decade. Cover: The 1975,Alternative,spotify,80,879090
5,spotify:playlist:37i9dQZF1DWTSKFpOdYF1r,Alternative 80s,The songs that defined the other side of the 80s. Cover: Kate Bush,Alternative,spotify,80,869112
6,spotify:playlist:37i9dQZF1DX0YKekzl0blG,Alternative 00s,All the indelible tunes from the other side of the 00s. Cover: Santigold,Alternative,spotify,80,665997
7,spotify:playlist:37i9dQZF1DX9GRpeH4CL0S,Essential Alternative,The greatest Alternative Rock songs through the decades. Cover: The Killers,Alternative,spotify,225,652319
8,spotify:playlist:37i9dQZF1DWXMg4uP5o3dm,Alternative Beats,alternative meets electronic Cover: Grabbitz,Alternative,spotify,100,445329
9,spotify:playlist:37i9dQZF1DXb3ZjVksUlfu,Alternative 70s,The defining alternative hits from a decade that changed music. Cover: David Bowie,Alternative,spotify,80,345855
10,spotify:playlist:37i9dQZF1DX5qNE4zrflL7,Alternative 60s,The songs that influenced everything that has happened since. Cover: Jimi Hendrix,Alternative,spotify,80,304831
11,spotify:playlist:37i9dQZF1DWY5ai7gxfuaS,Alternative Metal,The most innovative and forward thinking metal right now. Cover: Static-X,Alternative,spotify,80,226470
12,spotify:playlist:37i9dQZF1DX3XfcfEnrDRE,Ultimate Christian Alternative,The ever-evolving sound of Alt! Cover: Gable Price and Friends,Alternative,spotify,100,225067
13,spotify:playlist:37i9dQZF1DXcKHVXMYcCuJ,Alternative Rock's Most Precious Gems,Gotta catch 'em all.,Alternative,spotify,100,97726
14,spotify:playlist:37i9dQZF1DWTBN71pVn2Ej,Alternative Noise,The best alternative rock tracks right now.,Alternative,spotify,60,66481
15,spotify:playlist:37i9dQZF1DX2G2VrXHSPQG,Your Alternative,New song and hits from your favorite Alternative artists. Cover: Jack White,Alternative,spotify,75,62363
16,spotify:playlist:5SMf1pyrOAwjwheZvHWkaj,Alternative Rock 90s 2000s Classics,description,Alternative,tpfq85a51j5xg7andl6nuxdk8,125,57218
17,spotify:playlist:1CLtZgIOMHYBSfndPzyBOS,Alternative 2000s,,Alternative,shannonjreaves,318,48808
18,spotify:playlist:3nUsfihGyamAWG5yGb2znY,ALTERNATIVE CHOPS,,Alternative,316qczwd3n4qmuxnqnchtrjw4vrm,26,42318
19,spotify:playlist:7xY8wHHjF0wxke2dkK3sRc,90's Alternative Rock (Top 100),The top 100 alternative rock songs on Spotify from 1990-1999.,Alternative,tdkqms1h1k98zcv23ug77vcb1,119,40453
20,spotify:playlist:20LKsiDZd4ALrlihncFcFa,90s Alternative Rock,"The ultimate 90s alt rock playlist featuring Foo Fighters, Pearl Jam, Rage Against the Machine &amp; more!",Alternative Rock,myplay.com,100,763411
23,spotify:playlist:3oqK4QvwUBgTQ0lNpNef0S,Alternative Rock Playlist 2023 - Top New Alternative Rock Songs 2023,"In the next year, you will be able to find this playlist with the next title: Alternative Rock Playlist 2024 - Top New Alternative Rock Songs 2024",Alternative Rock,redmusiccompany,40,30975
24,spotify:playlist:2QiVfDz6sp5bBmGejwlYcN,ALTERNATIVE ROCK | POP | INDIE | ACOUSTIC PLAYLIST,Showcasing new alternative songs from around the world! Contact us via tuneplatform@gmail.com,Alternative Rock,31nc3jzgofw6ycglyyugxcxolgmq,53,24856
25,spotify:playlist:2k9mazwsywrYrSEfynMf8Q,Alternative Rock Collection,,Alternative Rock,31rdr6ckxjw3j4djt4fvnqm6qfqu,48,20272
26,spotify:playlist:6VRvMmyO09g0Yw8mGsUXjr,Alternative Rock ,Music that I compiled throughout my life I consider to be great &quot;Alternative Rock&quot; music. I decided to compile all the music into a playlist not only I would enjoy but you as well. 90s-2000&#x27;s,Alternative Rock,7ypyblut3almojii4si4h3hfr,177,17920
27,spotify:playlist:5d6yJqYgV6be8ftvmbP6No,Alternative Rock 2021,,Alternative Rock,gifx7hm5xyjkmfhpjd8468e97,265,11379
28,spotify:playlist:1QlwZS4gfx0XepdxpBG1UH,Alternative Rock 2000s Music,⭐You can also find us with: alternative rock 2000s - rock 2000s music - alternative rock 2000s music mix - alternative rock 00s hits - 2000 alternative rock playlist - 2000 alternative rock mix - rock songs 2000s - best alternative rock songs 2000s - alternative rock 2000s music playlist - alternative rock 00s,Alternative Rock,klbhj1gdhd32ie7wcah3sw85r,69,10074
29,spotify:playlist:6ZjGab8Y83ZmJUlVHI0c40,ALTERNATIVE ROCK LOVE SONGS,,Alternative Rock,224a4xec4qqkwgtz4xhmhvhny,87,3114
30,spotify:playlist:676YuKgUKNyRsc0QoaQYvZ,Alternative Rock & Indie Instrumentals,"No Singers!  Just Instrumental Music: Indie Rock, Post Punk, Post Rock, Shoe Gaze, and Dream Pop. Featuring Mogwai, MBV, Simple Minds, New Order, Ride, Doves, Radiohead, The Smiths, Slowdive, Phoenix, Bunnymen, U2, NIN, Broken Social Scene, Cocteau Twins, Joy Division and more! IG:@wasawolfmusic",Alternative Rock,12rqn3lx247ztvuaef9ztxulx,86,2042
31,spotify:playlist:5GEPZEvkstvii8pq00pAlz,alternative rock #opm🇵🇭🇵🇭,,Alternative Rock,22sj4hklwpdf4a3lfz2pzjiya,141,2028
32,spotify:playlist:4nuAs8oc3F0LklsMQyXeao,alternative rock/indie,,Alternative Rock,12143472466,547,1620
33,spotify:playlist:0VexU6b50GQ1jk0cLi5YS6,Alternative Rock Workout (Clean),The very best alternative rock songs from the 90’s and 2000’s to fuel your workout. Need clean music to play in the gym? Look no further than this playlist. 💚 SAVE to play again and again.,Alternative Rock,1239695583,72,1500
34,spotify:playlist:23wVfSXsUtP9z94e1jMjeQ,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s,Alternative Rock,31df72vjs4grg6k65aigus3srat4,150,1006
35,spotify:playlist:5kUlLsuKzZrKVeFTo4D4t4,Alternative Rock Love Songs,"Classic Make Out songs from the 70s, 80s, 90s, and 00s.",Alternative Rock,lmolter9,94,674
36,spotify:playlist:4Iz8LfjKad83ig9kMyoBL6,Alternative Rock Covers,,Alternative Rock,12146232906,101,636
37,spotify:playlist:3NOd2bC10HptgXDaevhGC9,alternative rock,,Alternative Rock,cruelladk,86,556
38,spotify:playlist:2WkvMoGs2eCo2LmBfewqSy,Alternative Rock/Party Rock,,Alternative Rock,gog7bywsq3zhbxofz9h4kuxub,304,428
39,spotify:playlist:5n8K6opUwFBUBySmN8Ympd,Alternative Rock/Hard Rock,,Alternative Rock,flamingcardinal,80,347
40,spotify:playlist:4CqO3lVchiV3fAnaqOnLbz,College Rock,the finest selection of pop-punk &amp; alternative through the decades,College Rock,1153051762,438,6441
41,spotify:playlist:6dAnh0CVOvYnIrsKTTRbB8,New Bands for Old Heads: '90s Alt/Riot Grrl/College Rock,More of this on the Quarantine the Past Podcast!,College Rock,meandtimory,98,3620
42,spotify:playlist:5das8cNaJtRPH4gWao8ub1,Sub Pop Records : Best Of || Indie Rock 90s | College Rock 90s || Indie Rock 00s | College Rock 00s | Alternative 90s | Alternative Rock 00s,"A selection of the best alltime tracks from renowned Seatle-based label Sub Pop, which was founded in 1986 by Bruce Pavitt and Jonathan Poneman. Sub Pop released among others Soundgarden, Nirvana, The Shins and Postal Service. || Indie Rock 90s | College Rock 90s || Indie Rock 00s | College Rock 00s",College Rock,oppositemarco,90,3333
43,spotify:playlist:2cvmluTwwOBMqDZRLAToyK,90s College Rock,,College Rock,1217998314,60,2838
44,spotify:playlist:4AiY6YW4J4kcE4Jzlu29ad,The ‘90s College Rock Station,"On a lost frequency, the indie&#x2F;alt-rock classics",College Rock,1243191961,2247,1660
45,spotify:playlist:2PrtENgZG5VXctHUr4JR1g,College Rock 80s - Indie Rock 80s - Alternative Rock - 80s College Rock - 80s Indie - 80s College Radio - 80s Alternative 80s,A selection of the best 80s College Rock tracks. || R.E.M. || The Cure || Pixies || The Smiths || The Clash || U2 || Talking Heads || 80s Indie Rock 80s || Indie 80s || Alternative 80s || Alternative Rock 80s || College Radio 80s || Rock 80s,College Rock,oppositemarco,225,1362
46,spotify:playlist:3DdQP5vonLVA0Egq5dvUF7,College Rock -- Best of 90's and 00's Hits,The best of College Rock. Includes songs from the famous &quot;American Pie&quot; movies.,College Rock,erikdsbackman,81,1272
47,spotify:playlist:2qu8yh6hv1B74Zllol3m7Y,120 Minutes: College Rock and Beyond,,College Rock,jimdedman,5472,1220
48,spotify:playlist:0GK9504lFujaWxzLtgCg1u,Teen/ College Rocklist,,College Rock,o.0,475,1121
49,spotify:playlist:62NRnDKYLfLqyo0tSJKEpM,"90s Alternative, indie, Grunge, lo-fi, College Rock Deep Dive","Not neccesarily the greatest hits but an eclectic blend of indie heavyweights, major-label alternative, underground bands &amp; semi-obscure nuggets. Featuring early-mid 90s [mostly] American indie, alternative, grunge, lo-fi, underground, college rock, punk, twee, riot grrrl and more.",College Rock,primitive_loaf,628,922
50,spotify:playlist:637Qp83cfi3zlZBtXpw5iv,What Was College Rock? 1986-1990,"Exploring the foundational &quot;alternative&quot; music of the mid to late &#x27;80s, when it was more likely to be called &quot;college rock&quot; or &quot;postmodern.&quot;  https:&#x2F;&#x2F;ko-fi.com&#x2F;fluxblog",College Rock,123059001,166,873
51,spotify:playlist:5FXhJfToZ4wgfibYKSFkr2,90s/2000s College Rock,,College Rock,cfaudph7eypcg689q6h096g0g,226,799
52,spotify:playlist:31RmwmbIpchgLOyABfSrwM,80's / 90's Alternative/College Rock,"I was in high school&#x2F;college during this period. You&#x27;ll find multiple subgenres of alternative music represented, (with a few songs from the late 70&#x27;s, and other genres thrown in), enjoy. My ELK - 2022 playlist expands on what&#x27;s  here but with less time&#x2F;genre constraints.",College Rock,1258558769,894,786
53,spotify:playlist:01LMglZilmDNPid9QWBVZb,College Rock 90s - Indie Rock 90s - Alternative Rock 90s - College Radio 90s | College Rock - Indie 90s - Alternative 90s,A selection of the best 90s College Rock tracks. || Pavement || Radiohead || Smashing Pumpkins || Foo Fighters || Pixies || U2 || Oasis || Beck || 90s Alternative Rock 90s || 90s Alternative 90s || 90s College Rock 90s || 90s Indierock 90s || 90s Indie Rock 90s || 90s Indie Rock 90s || Indie 90s,College Rock,oppositemarco,219,751
54,spotify:playlist:0LmYAJ2JLYzE7WVuqfc2eP,College Rock Party,,College Rock,mt9yd123j1vn971piswrahadz,95,232
55,spotify:playlist:2u3S611ID6lxmYd6sEHhCq,1990s Alternative/College Rock,"We're counting 1988 &amp; 1989 as 1990's here! A collection of some of my favorite &quot;college rock&quot; music featuring - The Lemonheads, Buffalo Tom, Matthew Sweet, Dinosaur Jr, The Replacements, the Violent Femmes, Pavement, Radiohead, Weezer &amp; more",College Rock,dzrec,55,82
56,spotify:playlist:5mU0kcXxbj5swbs3lVLCXB,COLLEGE ROCK,01.11.2020,College Rock,nils_birk,100,4
57,spotify:playlist:1mWo1EpSTJ1mRprppr5A7K,College Rock Era,,College Rock,31jnuoswmicuvoryi7a7m4mvlg2q,15,3
58,spotify:playlist:4s3rSrLrVLrHcAXCqF2Rsa,College Rock -Xaver Edition 🖤,,College Rock,21oafw26qaybhmeqbthqylbfq,168,3
59,spotify:playlist:0qIiReK0yLyEpYK6ie0xdt,college rock,a diverse set of rock music,College Rock,samlang2332,147,3
60,spotify:playlist:3ckmiiqYb8UpAKlt9U8Q1V,Experimental Rock,"Experimental rock is a rock subgenre which pushes the boundaries of common composition and performance technique by experimenting with unorthodox structures, instrumentation, lyrics and rhythms. Related genres: Noise Rock | Post-Rock | Math Rock | Art Rock | Post-Punk",Experimental Rock,21ccavqrh37bmu2mode4wyzdi,60,2193
61,spotify:playlist:3iC8vhGrOS9XvvWBz85jfF,The Sound of Experimental Rock,"See also <a href=""spotify:playlist:0oJyL99RvUg67NZC36vg1e"">Intro</a>, <a href=""spotify:playlist:5GrXXkjY5QwhvTb5wXGZ4B"">Pulse</a>, <a href=""spotify:playlist:319VdjQCMSiZwE1eDFKsFX"">Edge</a>, <a href=""spotify:playlist:2seUXCzvZZjeX3i3TfkurP"">♀Filter</a> or <a href=""spotify:playlist:2qVBKhjVnzqHn5GXzfKqdj"">2022</a>; or the Sounds of <a href=""spotify:playlist:13rgRSFVuyKQ0YtrZDJD6R"">Experimental</a>, <a href=""spotify:playlist:20cUBDEbmqhNmklStbkQvL"">Post-Punk</a>, <a href=""spotify:playlist:2Mqy8KOD7dNPT9woyngrIz"">No Wave</a>, <a href=""spotify:playlist:4wRu8Zs21gA3GxSbmYHqCq"">Noise Rock</a>, <a href=""spotify:playlist:6PimpDQHW8sNtGfz1jDTAi"">Art Rock</a>, <a href=""spotify:playlist:77sv0mFP4YSZgApxcqjaOb"">Industrial</a>, <a href=""spotify:playlist:4350ojbUlkGhZ4bYKREy3A"">Post-Hardcore</a>, <a href=""spotify:playlist:7bqLyNAboQ3L7RxCXP2X3S"">Experimental Indie Rock</a>, <a href=""spotify:playlist:252DtQnn5XzYtKs93VjCKE"">Protopunk</a> or <a href=""spotify:playlist:1HDK9LHAXjMQEbEhh9Lbfa"">Zolo</a>; or much more at <a href=""http://everynoise.com"">everynoise.com</a>.",Experimental Rock,thesoundsofspotify,170,2088
62,spotify:playlist:40w7S433hMiq16vCTOp5jD,experimental rock / nu metal,"alt, indie rock,  drum n bass, garage rock, post, hardcore, new wave, space rock, suicid punk, industrial metal",Experimental Rock,6c54ymggk0g0wbh4qsgj8rnye,199,30
63,spotify:playlist:1SxkzIMMjFpdhbYmL6oCx4,Experimental Rock,,Experimental Rock,margretdiebs,447,6
64,spotify:playlist:1OkxQYWrIP8XS9iPL3NnW0,Nu Psychedelic Progressive Post-Alternative Experimental Rock,Yuh.,Experimental Rock,1288562652,110,3
65,spotify:playlist:4Z8fMPApYfKSXlM7F7yqak,Experimental Rock,,Experimental Rock,24a2cuxyznauwaxia64hp7rql,82,1
66,spotify:playlist:37i9dQZF1EIfHovNZ3La8t,Experimental Rock Mix,Experimental Rock music picked just for you,Experimental Rock,spotify,50,0
67,spotify:playlist:0TDue93yFChMnWzW2s9Nez,Alejandro’s experimental rock,,Experimental Rock,3qg64hhkvbwjinrkf8j74xark,582,0
68,spotify:playlist:6CLdcLKGj5BAnMdIEeD0Vz,[ EXPERIMENTAL ROCK],[90s-20s] experimental rock - electronica - alternative rock - art rock,Experimental Rock,mktnd699x5xqklxc1c2tvx1bi,117,0
69,spotify:playlist:7plhsIPs1Gy68iVXZoEtFR,Experimental rock,,Experimental Rock,jan.salem.zeman,13,0
70,spotify:playlist:5tgBBns8tt87aDHrtJK8I0,Experimental ROCK 🪨 ,,Experimental Rock,31nazxklrk3klulvkxuz4nh4m76m,19,0
